Initializing
Do you want to recalibrate the scale? 0 for no, 1 for S1, 2 for S2, 3 for S3, 4 for S4
1 pass.
2 pass
3 pass
4 pass.
PRESS ANY NUMBER & ENTER TO START DATA COLLECTION
---------------------------------
Live readings:
Time (ms), Sensor 1 Force (N), Sensor 2 Force (N), Sensor 3 Force (N), Sensor 4 Force (N)
403886, 9.703, 9.175, 13.265, -2.769
405206, 9.665, 9.421, 13.085, -3.005
406621, 9.679, 9.274, 13.490, -2.917
407940, 9.676, 9.519, 13.040, -3.123
409261, 9.671, 9.028, 13.534, -2.887
410676, 9.731, 9.175, 13.714, -2.828
411995, 9.641, 9.028, 13.534, -3.034
413410, 9.671, 9.715, 13.579, -3.093
414730, 9.703, 9.421, 13.445, -3.093
416145, 9.631, 9.519, 13.085, -2.769
417465, 9.583, 9.175, 13.445, -3.034
418785, 9.618, 8.979, 13.355, -2.858
420105, 9.605, 8.979, 13.355, -3.182
421330, 9.703, 8.832, 13.085, -2.975
422650, 9.690, 9.323, 13.804, -3.034
423876, 10.174, 9.175, 13.759, -2.769
425197, 10.063, 10.059, 13.265, -2.445
426423, 9.822, 9.175, 13.759, -2.769
427743, 9.826, 9.372, 13.490, -2.917
429062, 9.663, 9.764, 13.220, -2.622
430477, 10.176, 9.421, 13.490, 
